Username,Original Text,Processed Text,Language,Sentiment,Retweets,Likes,Created At
Prof cheems ॐ,"#phalgamterrorattack #Phalagam
Pakistan need This Treatment
https://t.co/bYZTMLnBDa","#phalgamterrorattack #Phalagam
Pakistan need This Treatment
https://t.co/bYZTMLnBDa",en,negative,1,15,Tue Apr 22 19:46:18 +0000 2025
SaharTV,"What happened in Phalagam, India was disgusting. I stand with my Hindu brothers and sisters now and forever! https://t.co/fjDZsRq86F","What happened in Phalagam, India was disgusting. I stand with my Hindu brothers and sisters now and forever! https://t.co/fjDZsRq86F",en,negative,68,336,Fri Apr 25 14:40:15 +0000 2025
Manisha choudhary,"वक्त बदला, सरकारें बदली
लेकिन नहीं बदला है तो हालत 
आज भी दहशत में जीता है हमारा #कश्मीर
आज भी आते हैं हमारे वतन के रखवाले तिरंगे में लिपटे हुए..... 😞
सब बदला लेकिन फ़िर भी कुछ नहीं बदला...!! 

#Phalagam
#KashmirTerroristAttack

 https://t.co/RLAWHhrEj1","वक्त बदला, सरकारें बदली
लेकिन नहीं बदला है तो हालत 
आज भी दहशत में जीता है हमारा #कश्मीर
आज भी आते हैं हमारे वतन के रखवाले तिरंगे में लिपटे हुए..... 😞
सब बदला लेकिन फ़िर भी कुछ नहीं बदला...!! 

#Phalagam
#KashmirTerroristAttack

 https://t.co/RLAWHhrEj1",hi,negative,12,55,Tue Apr 22 15:20:04 +0000 2025
Youth_Club 🇮🇳❤️,@garrywalia_ This is the video. See how this boy is saving the tourist in #Phalagam during the #PahalgamTerroristAttack https://t.co/7rJAvJdvng,@garrywalia_ This is the video. See how this boy is saving the tourist in #Phalagam during the #PahalgamTerroristAttack https://t.co/7rJAvJdvng,en,positive,2,50,Fri Apr 25 04:35:50 +0000 2025
Youth in Politics,"पहलगाम की वादियों में खामोशी छा गई...26 निर्दोष सैलानियों की जान लेने वाला यह आतंकी हमला हमें अंदर तक झकझोर देता है।

आइए, मिलकर प्रार्थना करें उनके लिए जो अब हमारे बीच नहीं रहे । आतंक के ख़िलाफ़ एकजुट हों।

#phalagam #terroristattack #kashmir #BreakingNews https://t.co/M8FumXmtTf","पहलगाम की वादियों में खामोशी छा गई...26 निर्दोष सैलानियों की जान लेने वाला यह आतंकी हमला हमें अंदर तक झकझोर देता है।

आइए, मिलकर प्रार्थना करें उनके लिए जो अब हमारे बीच नहीं रहे । आतंक के ख़िलाफ़ एकजुट हों।

#phalagam #terroristattack #kashmir #BreakingNews https://t.co/M8FumXmtTf",hi,negative,1,6,Wed Apr 23 11:37:16 +0000 2025
𝗕𝗮𝗿𝗿𝘆 𝗦𝘁𝗮𝗻𝘁𝗼𝗻 𝗥𝗲𝗯𝗼𝗿𝗻,This is how India responded to Pakistan's Phalagam attack. https://t.co/NqS2E4eRsb,This is how India responded to Pakistan's Phalagam attack. https://t.co/NqS2E4eRsb,en,neutral,32,181,Thu Apr 24 14:42:41 +0000 2025
Praduman Kushwaha,"These terrorists do not ask about language, state or caste. They kill after asking about religion and name. These terrorists attack people of our religion. #PahalgamTerroristAttacks #Phalagam #phalgam #HomeManister #AmitShah https://t.co/cjTHmeeNjP","These terrorists do not ask about language, state or caste. They kill after asking about religion and name. These terrorists attack people of our religion. #PahalgamTerroristAttacks #Phalagam #phalgam #HomeManister #AmitShah https://t.co/cjTHmeeNjP",en,negative,2,24,Wed Apr 23 05:20:56 +0000 2025
عام آدمی,"Pakistan 🇵🇰 Army Tank Against Endia 💪.
.
.
#FalseFlagOperation 
#Phalagam https://t.co/mbTfI5ytD1","Pakistan 🇵🇰 Army Tank Against Endia 💪.
.
.
#FalseFlagOperation 
#Phalagam https://t.co/mbTfI5ytD1",id,neutral,0,12,Fri Apr 25 10:08:44 +0000 2025
प्रिन्स गोसाई शामकुळे,"हमारे पैसे लुट कर अजित ढोभाल का बेटा और अदानी अपना धंदा पाकिस्तान मे चला रहा है इनके जिहाद को क्या नाम दे ? और नालायक ये कहते के देश मे खरिद ने से पहले नाम पुछ लो BSDK तुम पाकिस्तान मे नही भारत मे रहते हो और जो भी भारत का नागरिक है वो भारतिय है .

#देशद्रोही 
#Phalagam https://t.co/NWwFwoV883","हमारे पैसे लुट कर अजित ढोभाल का बेटा और अदानी अपना धंदा पाकिस्तान मे चला रहा है इनके जिहाद को क्या नाम दे ? और नालायक ये कहते के देश मे खरिद ने से पहले नाम पुछ लो BSDK तुम पाकिस्तान मे नही भारत मे रहते हो और जो भी भारत का नागरिक है वो भारतिय है .

#देशद्रोही 
#Phalagam https://t.co/NWwFwoV883",hi,negative,1,4,Fri Apr 25 17:35:39 +0000 2025
Er. Faizan,"Kashmiri Muslims have always stood firmly against terrorism. We've never wronged anyone. Just as we welcome and care for tourists here, we urge Indians to treat Kashmiri students, employees, and businessmen across the country with the same respect and kindness.
#Phalagam https://t.co/0AoYuO3xFh","Kashmiri Muslims have always stood firmly against terrorism. We've never wronged anyone. Just as we welcome and care for tourists here, we urge Indians to treat Kashmiri students, employees, and businessmen across the country with the same respect and kindness.
#Phalagam https://t.co/0AoYuO3xFh",en,positive,0,2,Wed Apr 23 11:06:33 +0000 2025
Oyeee Rahul,"Happy Diwali Pakistan 💥

#Phalagam #IndiaPakistan https://t.co/1awmU22Dzh","Happy Diwali Pakistan 💥

#Phalagam #indiaPakistan https://t.co/1awmu22dzh",tl,positive,5,18,Fri Apr 25 07:36:24 +0000 2025
Times Always,"Chilling visuals from the Pahalgam terror attack

From: News Arena India #Phalagam #KashmirTerroristAttack https://t.co/kaIyxffNyd","Chilling visuals from the Pahalgam terror attack

From: News Arena India #Phalagam #KashmirTerroristAttack https://t.co/kaIyxffNyd",en,negative,12,33,Tue Apr 22 18:31:22 +0000 2025
𝔸𝕁𝔸𝕐 𝕁𝔸ℕ𝔾𝕀𝔻,"Take Strict Action Against Him 🧐...
@MPPoliceDeptt @randomsena 

#PhalagamTerrorAttack #Phalagam https://t.co/N4rVOZFYoa","Take Strict Action Against Him 🧐...
@MPPoliceDeptt @randomsena 

#PhalagamTerrorAttack #Phalagam https://t.co/N4rVOZFYoa",en,negative,1,6,Tue Apr 22 17:30:35 +0000 2025
Erum Zaeem,"Pani kholo PK Singh ko Fantastic tea Pilani ha 
😂😂

#Phalagam https://t.co/sxPG9auC0M","Play page invaluated Anands 
😂

#Phow soothter://ccos.",tl,negative,9,18,Thu Apr 24 15:14:12 +0000 2025
Khaaya Lagaya,They have done one more mumbai show some spine. #Phalagam https://t.co/YH7ylZh399,They have done one more mumbai show some spine. #Phalagam https://t.co/YH7ylZh399,en,negative,0,5,Wed Apr 23 07:29:24 +0000 2025
Sunil,Hindus stop buying anything from Muslims. Don't give any business to them. Completely boycott them . Otherwise next it's u &amp; ur family's turn. They'll ask whether u r hindu or not ? &amp; kill u &amp; ur family! #Phalagam #Phalagamattack #phalagamterroristattack #StopbuyingfromMuslims https://t.co/LcGoKgCxES,Hindus stop buying anything from Muslims. Don't give any business to them. Completely boycott them . Otherwise next it's u &amp; ur family's turn. They'll ask whether u r hindu or not ? &amp; kill u &amp; ur family! #Phalagam #Phalagamattack #phalagamterroristattack #StopbuyingfromMuslims https://t.co/LcGoKgCxES,en,negative,1,5,Wed Apr 23 04:23:32 +0000 2025
MagicNifty💨,"We cant feel the Pain Of These families 🙏

Why ? Because Our Families Are safe !!
#Phalagam https://t.co/tY9xo9hZKh","We cant feel the Pain Of These families 🙏

Why ? Because Our Families Are safe !!
#Phalagam https://t.co/tY9xo9hZKh",en,negative,14,63,Tue Apr 22 14:14:45 +0000 2025
JAT World 𝕏,"पर्यटक जो खौफनाक पहलगाम आतंकवादी हमले में बचकर भागने में सफल रहे।

एक परिवार महिला और बच्चे जिसका पति और पिता इस्लामी आतंकीयो ने उनके सामने मार दिया  💔

भारतीय सेना बचाव के लिए आगे आई और उन्हें होंसला दिया
#IndianArmy 🇮🇳 comes to rescue 
#Phalagam 
#phalagamTerroristAttack https://t.co/CG5G3SANw2","पर्यटक जो खौफनाक पहलगाम आतंकवादी हमले में बचकर भागने में सफल रहे।

एक परिवार महिला और बच्चे जिसका पति और पिता इस्लामी आतंकीयो ने उनके सामने मार दिया  💔

भारतीय सेना बचाव के लिए आगे आई और उन्हें होंसला दिया
#IndianArmy 🇮🇳 comes to rescue 
#Phalagam 
#phalagamTerroristAttack https://t.co/CG5G3SANw2",hi,negative,43,149,Tue Apr 22 19:45:22 +0000 2025
प्रिन्स गोसाई शामकुळे,"Note this 

#Phalagam https://t.co/AXo2vfwfNK","Note this 

#Phalagam https://t.co/AXo2vfwfNK",en,neutral,1,5,Fri Apr 25 17:10:07 +0000 2025
ఆచార్య,"Dharmam niluparaa @narendramodi 🥹🔥
#Phalagam 🚩 https://t.co/Xt5zpRmsDf","Dharmam niluparaa @narendramodi 🥹🔥
#Phalagam 🚩 https://t.co/XT5ZPRMSDF",id,neutral,987,8014,Thu Apr 24 10:08:04 +0000 2025
Neha,"This picture will haunt me for the rest of my life

#Phalagam https://t.co/JTCDHjXSQ4","This picture will haunt me for the rest of my life

#Phalagam https://t.co/JTCDHjXSQ4",en,positive,2,13,Tue Apr 22 14:22:10 +0000 2025
ऑगस्ट क्रांति,"Blood suckers 
#Phalagam https://t.co/zRz4aWavYK","Blood suckers 
#Phalagam https://t.co/zRz4aWavYK",en,negative,8,53,Wed Apr 23 12:38:45 +0000 2025
BRUCEWAYNE,"Out of curiosity, ee radoo gadu #Phalagam lo undi unte aadni odhiliyemmani ela adukkune vado💢 https://t.co/mBiKh3pijh","Out of curiosity, EE Radoo Gadu #Phalagam lo undi unte aadni odhiliyemmani ela adukkune vado💢 https://t.co/mbikh3PIJH",so,negative,3,17,Wed Apr 23 02:36:45 +0000 2025
Praveen Singada,"एक व्यपारी हैं, आप व्यपार कर रहे हैं l
 
पागलखाना l

#arnabgoswami #RepublicKannada
#republictv #Phalagam
#PahalgamTerroristAttack @Amockx2022 @MiraMeeraN
@RahulSeeker @kaleidoscopewl 
@AshishSinghKiJi @iamharmeetK
@tablubablu @
https://t.co/M71D8MesRO","एक व्यपारी हैं, आप व्यपार कर रहे हैं l
 
पागलखाना l

#arnabgoswami #RepublicKannada
#republictv #Phalagam
#PahalgamTerroristAttack @Amockx2022 @MiraMeeraN
@RahulSeeker @kaleidoscopewl 
@AshishSinghKiJi @iamharmeetK
@tablubablu @
https://t.co/M71D8MesRO",en,negative,11,11,Fri Apr 25 03:00:30 +0000 2025
Sayyed Gulam Gausul Vara,"@ShayarImran टेंशन मत लीजिए देश सुरक्षित हाथों में है?
#phalgam #Phalagam #phalgham https://t.co/6wL7TAG4Lp","@ShayarImran टेंशन मत लीजिए देश सुरक्षित हाथों में है?
#phalgam #Phalagam #phalgham https://t.co/6wL7TAG4Lp",hi,neutral,11,62,Tue Apr 22 14:08:15 +0000 2025
ओ३म्,"Pakistan army on high alert 
Fearing retaliation from India 
#Phalagam 
#PahalgamTerrorAttack 
#PahalgamTerrroristAttack https://t.co/tN7diO16S2","Pakistan army on high alert 
Fearing retaliation from India 
#Phalagam 
#PahalgamTerrorAttack 
#PahalgamTerrroristAttack https://t.co/tN7diO16S2",en,negative,13,24,Tue Apr 22 16:36:05 +0000 2025
عام آدمی,"Tea is Ready Ware are you abinandan our tea is Fantastic 
🍵 tea 🍵 tea 

#Phalagam
#IndianFalseFlagExposedAgain https://t.co/AHBAqimleL","Tea is Ready Ware are you abinandan our tea is Fantastic 
🍵 tea 🍵 tea 

#Phalagam
#IndianFalseFlagExposedAgain https://t.co/AHBAqimleL",en,positive,8,20,Wed Apr 23 16:27:41 +0000 2025
karuna Tyagi(Proud Hindu),"#WeWantRevenge आतंकवाद का कोई धर्म नहीं होता वो अलग बात है सब आतंकवादी एक ही धर्म के होते हैं..काश आतंकवादी अगर जाति पूछ लेते मारने से पहले तो उनके रहनुमा (Bsdk) (Chutiye) सेक्युलर हिंदूओ के लिए आतंकवादियों का बचाव करना आसान हो जाता?
#पहलगाम
#पहलगाम_आतंकी_हमला
#Phalagam
Amit Shah https://t.co/weq56LE2R8","#WeWantRevenge आतंकवाद का कोई धर्म नहीं होता वो अलग बात है सब आतंकवादी एक ही धर्म के होते हैं..काश आतंकवादी अगर जाति पूछ लेते मारने से पहले तो उनके रहनुमा (Bsdk) (Chutiye) सेक्युलर हिंदूओ के लिए आतंकवादियों का बचाव करना आसान हो जाता?
#पहलगाम
#पहलगाम_आतंकी_हमला
#Phalagam
Amit Shah https://t.co/weq56LE2R8",hi,negative,113,331,Wed Apr 23 01:36:37 +0000 2025
عام آدمی,"Current situation of India-Pakistan border

انڈیا پاکستان بارڈر کی موجودہ تازہ ترین 
صورتحال
 
#Phalagam 
#PahalgamTerroristAttack 
#FalseFlagOperation https://t.co/kdCjTcZAq9","Current situation of India-Pakistan border

انڈیا پاکستان بارڈر کی موجودہ تازہ ترین 
صورتحال
 
#Phalagam 
#PahalgamTerroristAttack 
#FalseFlagOperation https://t.co/kdCjTcZAq9",en,negative,4,12,Fri Apr 25 15:21:45 +0000 2025
Sakshi,"But they said terrorism has no religion seriously ?
#Phalagam https://t.co/EsAXwWgSbo","But they said terrorism has no religion seriously ?
#Phalagam https://t.co/EsAXwWgSbo",en,negative,6,53,Tue Apr 22 15:09:51 +0000 2025
